ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/012f9ad1-b95b-42f1-b2c7-3793cdbce443,key_1311,ca7143a5-ffc3-42e7-abe4-6c5663575cc8,skill/competence,sector-specific,explain features in accommodation venue,"explain accommodation venue features
explain accommodation features at venue
explain features in guest room
brief guests on room facilities
explain features in accommodation venue",Clarify guests' accommodation facilities and demonstrate and show how to use them.,,
http://data.europa.eu/esco/skill/0132ac4f-ffac-4396-8b56-052fde0c9d73,key_1312,b3898f27-3598-4bcd-8746-11984bfbe678,knowledge,sector-specific,types of barley,"type of barley
a type of barley
barley types
types of barley
kinds of barley
strains of barley
varieties of barley
categories of barley","The different types of barley; their characteristics, and quality.",,
http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,key_1313,eb4d0662-3fa5-4512-9ad6-eddee1289beb,knowledge,sector-specific,KDevelop,"KDevelop 4.7.0
KDevelop 4.6.0
KDevelop 4.0.0
KDevelop
KDevelop 5.0.0","The computer program KDevelop is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software community KDE.",,
http://data.europa.eu/esco/skill/0138fdc7-edbb-485c-9aa9-544f723eb62f,key_1314,749e9034-861c-45af-9f6f-9752584fc22a,skill/competence,sector-specific,purchase vehicle parts,"oversee parts purchasing
carry out part purchasing
carry out parts purchases
carry out parts purchasing
carrying out parts purchasing
make parts purchasing
undertake parts purchasing
complete parts purchasing",Order specific parts required for maintenance and repair of a wide variety of vehicles.,,
http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,key_1315,c1220bf0-55c3-4f58-98fa-56c449fc8c16,skill/competence,cross-sector,inspect offshore constructions,"inspect offshore constructions
evaluate offshore constructions
inspect offshore construction
inspeting offshore constructions
examine offshore constructions
check offshore constructions
assess offshore constructions",Conduct regular inspections during and after the construction of offshore facilities such as oil platforms to ensure risk minimisation and compliance with regulations.,,
http://data.europa.eu/esco/skill/01468114-b99c-4f48-9374-a520a7faa9c9,key_1316,91a64bdf-87d7-4552-9885-07657af85235,skill/competence,sector-specific,transport patient to medical facility,"transport patient to medical facility
assist in patient transportation
transfer patients to medical facilities
transport patients to medical facilities
transfer patient to medical facility
transport a patient to a medical facility","Assist in lifting and carrying of the patient into the emergency vehicle for transport, and into the receiving medical facility on arrival.",,
http://data.europa.eu/esco/skill/0156865e-5010-4908-8e0f-ce3aebc2d136,key_1317,7142ac9f-f293-42bc-bcf0-89947409f664,skill/competence,occupation-specific,adjust envelope cutting settings,"tweak envelope cutting settings
adjusting envelope cutting settings
change envelope cutting settings
adjust envelope cutting setting
adapt envelope cutting settings
modify envelope cutting settings
adjust envelope cutting settings","Make sure that the right window cutting and patching standard are used. Prepare this by gumming on the blank with a dry patch and on the window material during its conveyance. Adjust on the basis of window, gum, and patch position and level of evenness.",,
http://data.europa.eu/esco/skill/0157feec-52c2-4764-b83d-2d017ce8e49d,key_1318,7ca102df-029c-459e-90a0-533267b3d793,skill/competence,sector-specific,prepare oils,"arrange oils
assemble oil
prepare oil
prepare, select and mix oil
assemble oils
prepare oils
arrange oil","Select the appropriate oils for the client, mix and blend them in order to create individualised compounds with specific needs and ratios for clients, keeping records of applied treatments and the blends used during the therapy.",,
http://data.europa.eu/esco/skill/015b0162-6dd3-4d46-bbfd-325086155dd5,key_1319,4a8c8e49-77b0-4a0d-985a-8c1deb015f0d,skill/competence,sector-specific,purchase supplies,"pay for  supplies
acquire  supplies
gain  supplies
purchase of supplies
supplies purchasing
buy  supplies
purchase supplies
purchasing supplies",Purchase and replenish supplies; make sure that all required goods are available in stock.,,
http://data.europa.eu/esco/skill/015cd017-b146-4c9d-ab10-5dfca451c30a,key_1320,8e94f497-639d-49aa-a5cc-681753aea504,skill/competence,sector-specific,pursue excellence in the creation of food products,"look for excellence in the creation of food products
pursuing excellence in the creation of food products
aim for excellence in the creation of food products
pursue excellence in the creation of food products
seek excellence in the creation of food products
pursue excellence in the creation of a food product",Try to develop food products in their most qualitative form possible.,,
http://data.europa.eu/esco/skill/0162b701-6bb4-400a-b557-7996053d7daf,key_1321,990d7d5b-7523-4e1e-abda-fbd29d7a6647,skill/competence,sector-specific,maintain personal hygiene standards when cleaning,"maintain personal hygiene standards when cleaning
maintaining personal hygiene standards when cleaning
keep up personal hygiene standards when cleaning
maintain personal hygiene standard when cleaning
maintain personal hygiene when cleaning
sustain  personal hygiene standards when cleaning","Make sure to keep yourself clean and tidy and wear protective equipment when performing cleaning activities, as required by the health and safety procedures of the task or the organisation.",,
http://data.europa.eu/esco/skill/0167ee96-f478-4383-afe6-aabf387da5b3,key_1322,bbfd9779-69ff-4878-b616-c339a24cf735,skill/competence,cross-sector,liaise with typists,"cooperate with typists
liaising with typists
liaise with typists
work together with typists
collaborate with typists
liaise with typist","Give instructions to typists about the addressees, the appropriate format, the number of copies required, etc. for them to type the final documents.",,
