ORIGINURI,ID,UUIDHISTORY,SKILLTYPE,REUSELEVEL,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE
http://data.europa.eu/esco/skill/19cfe26e-7360-4455-9721-bb342048df25,key_2644,a7bc4aa8-2d6e-4cd9-a8af-abba2ffa0c76,skill/competence,sector-specific,administer radiotherapy,"manage patients undertaking radiotherapy
supervise patients undertaking radiography
supervise patients undertaking radiotherapy
administer radiotherapy to patients
administer radiotherapy","Manage the level of radiation, dose modification and assessments for the patients undertaking radiotherapy.",,
http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,key_2671,e90f73d2-4acb-4487-826b-22074dc44f42,skill/competence,cross-sector,creatively use digital technologies,creatively use digital technologies,Use digital tools and technologies to create knowledge and to innovate processes and products. Engage individually and collectively in cognitive processing to understand and resolve conceptual problems and problem situations in digital environments.,,
http://data.europa.eu/esco/skill/1a539b09-1fd9-4a86-9c5d-fde7499a2f9d,key_2673,76c3b2cc-2300-4fea-8c88-87d558c53b7c,knowledge,cross-sector,election law,"election legislation
election law
balloting statutes
election statutes
balloting laws
election rules
ballot legislation
ballot rules","The regulations concerning the procedures during elections, such as voting regulations, campaign regulations, which procedures candidates must follow, how votes are counted, and other electoral procedures.",,
http://data.europa.eu/esco/skill/1afb3c58-41a5-484b-b627-363ede418757,key_2708,7d6a015c-4616-4dd7-803a-cc9d9e8197c2,skill/competence,occupation-specific,anticipate potential deficiencies,"anticipate potential weaknesses
anticipate problems
predict potential deficiencies
anticipate potential shortcomings
anticipate potential flaws
predict shortcomings
predict problems
anticipate potential deficiencies
foresee potential flaws
anticipate potential issues
foresee deficiencies",Assess scenarios in order to anticipate and pinpoint potential deficiencies. Rely on experience combined with statistical probability to mitigate the risk of encountering setbacks.,,
http://data.europa.eu/esco/skill/1c685542-aa09-4704-ba87-2b1ffd802e1f,key_2791,51255058-0163-4c26-b8dc-40841f4cc939,skill/competence,sector-specific,run a projection,"operate projection equipment
operate a projector and it's sources
project images
run a projection
run a digital projection",Operate projection equipment safely and efficiently to project images on a background in an artistic or cultural context.,,
http://data.europa.eu/esco/skill/1d062465-89b3-4fd9-b043-0f4d6d386a52,key_2822,39dc2cd7-9b57-4c1c-ada3-0a8c12ac4b02,knowledge,cross-sector,media law,"media laws
media standards
media legality
media rules
media regulation
media law
media legislation
media norms","Set of laws related to the entertainment and telecommunications industry and regulatory activities within the fields of broadcasting, advertising, censorship, and online services.",,
http://data.europa.eu/esco/skill/1d1b0108-3d56-45e2-bf0a-dca06a8ee5e3,key_2826,a2e65ba0-d45f-4b51-9b19-7a460f61d02d,knowledge,occupation-specific,bioethics,"bio-ethics
ethics in biotechnology
bioethics
implications of ethical issues in biotechnology
ethical issues in biotechnology and medicine",The implications of various ethical issues related to the new advancements in biotechnology and medicine such as human experimentation.,,
http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,key_2846,6b20197f-db72-4367-b7c1-b44680453def,skill/competence,cross-sector,"evaluate data, information and digital content","evaluate data, information and digital content","Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",,
http://data.europa.eu/esco/skill/1d7234e4-1c76-4d67-9487-71d8c529cdc9,key_2848,b27bb715-a921-457c-a0e7-994d0f9920ec,skill/competence,cross-sector,compile legal documents,"assemble legal documents
produce legal documents
collate legal documents
organise legal documents
produce judicial documentation
collate judicial documentation
assemble judicial documentation
compile legal documents
organise judicial documentation","Compile and collect legal documents from a specific case in order to aid an investigation or for a court hearing, in a manner compliant with legal regulations and ensuring records are properly maintained.",,
http://data.europa.eu/esco/skill/1e3e0736-6d4a-4a65-8787-1fa16bff5660,key_2893,1021bb3d-da6c-40c1-9f0e-593faebc8358,knowledge,sector-specific,explosives,"reactive substance
blasting materials
explosive charge
explosive materials
charge of explosive
blasting techniques
pyrotechnics
explosives
pyrotechnic materials","Behaviour of explosives, pyrotechnics and blasting techniques. Associated risks and legal requirements.",,
